gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Appingedam,GM0003,3,Appingedam,Gemeente,GM0003,12001,5802,48.3,6199,51.7,1825,15.2,1232,10.3,2554,21.3,3565,29.7,2825,23.5,5045,42,5059,42.2,1008,8.4,889,7.4,898,7.5,699,5.8,44,0.4,83,0.7,72,0.6,270,2.2,230,1.9,5594,2032,36.3,1842,32.9,1720,30.7,2.1,505,5881,131,72,28,85,15,570,35,80,180,40,45,105,90,5315,1610,3705,4520,795,0.9,223,390,555,2458,2378,80,3,1041
Bedum,GM0005,5,Bedum,Gemeente,GM0005,10433,5230,50.1,5203,49.9,1748,16.8,1196,11.5,2169,20.8,3213,30.8,2107,20.2,4548,43.6,4780,45.8,602,5.8,503,4.8,445,4.3,292,2.8,8,0.1,29,0.3,17,0.2,11,0.1,227,2.2,4350,1236,28.4,1542,35.4,1572,36.1,2.3,234,4570,171,85,15,87,13,700,80,120,145,55,60,145,90,4855,1420,3435,3925,930,1.1,109,625,495,4496,4454,41,4,681
Bellingwedde,GM0007,7,Bellingwedde,Gemeente,GM0007,8971,4537,50.6,4434,49.4,1192,13.3,863,9.6,1611,18,2975,33.2,2330,26,3323,37,4292,47.8,711,7.9,645,7.2,712,7.9,289,3.2,4,0,11,0.1,27,0.3,9,0.1,238,2.7,3963,1160,29.3,1597,40.3,1206,30.4,2.2,83,4116,160,94,6,94,6,700,150,130,140,40,40,120,85,5210,1345,3865,4030,1185,1.3,48,785,610,11009,10837,172,5,151
Ten Boer,GM0009,9,Ten Boer,Gemeente,GM0009,7352,3660,49.8,3692,50.2,1359,18.5,838,11.4,1560,21.2,2205,30,1390,18.9,3258,44.3,3175,43.2,457,6.2,462,6.3,307,4.2,186,2.5,1,0,20,0.3,28,0.4,11,0.1,126,1.7,2963,808,27.3,983,33.2,1172,39.6,2.4,162,3017,165,91,9,86,14,555,95,100,95,30,40,120,75,3615,995,2620,2900,710,1.2,80,470,455,4573,4531,42,5,367
Delfzijl,GM0010,10,Delfzijl,Gemeente,GM0010,25068,12571,50.1,12497,49.9,3548,14.2,2663,10.6,5101,20.3,7750,30.9,6006,24,10217,40.8,11068,44.2,1976,7.9,1807,7.2,1969,7.9,2351,9.4,28,0.1,623,2.5,288,1.1,580,2.3,832,3.3,11564,4082,35.3,3886,33.6,3596,31.1,2.1,188,12273,122,78,22,92,8,1565,170,250,370,260,100,230,190,12045,3615,8430,9915,2125,1,90,1505,1300,22750,13313,9436,4,681
Groningen,GM0014,14,Groningen,Gemeente,GM0014,200952,100159,49.8,100793,50.2,24537,12.2,48155,24,60984,30.3,42915,21.4,24361,12.1,135586,67.5,44557,22.2,14052,7,6757,3.4,23491,11.7,22764,11.3,1235,0.6,3646,1.8,3331,1.7,1446,0.7,13106,6.5,121157,74709,61.7,25038,20.7,21410,17.7,1.6,2549,99250,154,36,64,88,12,15330,70,1440,3225,1985,1210,4675,2725,70415,25360,45055,51395,19015,0.6,893,9235,5090,8378,7885,493,1,3379
Grootegast,GM0015,15,Grootegast,Gemeente,GM0015,12155,6194,51,5961,49,2261,18.6,1543,12.7,2710,22.3,3549,29.2,2092,17.2,5656,46.5,5289,43.5,612,5,598,4.9,303,2.5,139,1.1,4,0,5,0,13,0.1,1,0,116,1,4802,1258,26.2,1514,31.5,2030,42.3,2.5,140,4946,191,92,8,86,14,1035,195,245,240,50,60,150,95,6350,1210,5135,4560,1790,1.3,73,1165,825,8774,8671,103,5,227
Haren,GM0017,17,Haren,Gemeente,GM0017,19076,9114,47.8,9962,52.2,3142,16.5,1811,9.5,3458,18.1,5582,29.3,5083,26.6,8094,42.4,8223,43.1,1401,7.3,1358,7.1,1466,7.7,865,4.5,14,0.1,56,0.3,68,0.4,29,0.2,698,3.7,8547,3057,35.8,2788,32.6,2702,31.6,2.2,420,8612,261,77,23,92,8,1605,35,150,275,100,240,575,230,9285,2740,6540,7280,2005,1.1,204,675,575,5073,4542,532,4,862
Hoogezand-Sappemeer,GM0018,18,Hoogezand-Sappemeer,Gemeente,GM0018,34177,16913,49.5,17264,50.5,5344,15.6,3692,10.8,7810,22.9,10013,29.3,7318,21.4,15125,44.3,13815,40.4,3002,8.8,2235,6.5,2452,7.2,3987,11.7,260,0.8,415,1.2,1321,3.9,1081,3.2,910,2.7,15654,5681,36.3,4855,31,5118,32.7,2.1,514,15971,134,70,30,86,14,1890,70,330,540,145,175,370,260,15905,4005,11895,13235,2670,1,239,1555,1320,7299,6646,653,3,1248
Leek,GM0022,22,Leek,Gemeente,GM0022,19536,9601,49.1,9935,50.9,3356,17.2,2122,10.9,4100,21,5925,30.3,4033,20.6,8480,43.4,8583,43.9,1342,6.9,1131,5.8,1030,5.3,651,3.3,18,0.1,47,0.2,101,0.5,65,0.3,420,2.1,8215,2431,29.6,2725,33.2,3059,37.2,2.3,309,8498,183,86,14,84,16,1650,120,315,405,125,155,360,170,9830,2540,7290,7540,2290,1.2,156,1435,935,6428,6318,110,4,734
